"","scientificName","ias"
"1","Telmatobius punctatus","Batrachochytrium dendrobatidis"
"2","Ogmodon vitianus","Unspecified Rattus"
"3","Psammophilus dorsalis","Canis familiaris"
"4","Nadzikambia mlanjensis","Unspecified Pinus"
"5","Kinyongia matschiei","Unspecified ROSALES"
"6","Brachylophus bulabula","Rattus rattus"
"7","Conolophus marthae","Felis catus"
"8","Ctenosaura nolascensis","Unspecified Rattus"
"9","Microlophus albemarlensis","Sus domesticus"
"10","Emoia adspersa","Unspecified Rattus"
"11","Emoia boettgeri","Unspecified Rattus"
"12","Cubophis cantherigerus","Herpestes auropunctatus"
"13","Ectopoglossus confusus","Batrachochytrium dendrobatidis"
"14","Lycodon rufozonatus","Pavo cristatus"
"15","Emoia nigra","Felis catus"
"16","Hemiphyllodactylus ganoklonis","Hemidactylus frenatus"
"17","Emoia concolor","Unspecified Rattus"
"18","Emoia mivarti","Emoia jakati"
"19","Emoia parkeri","Herpestes javanicus_old"
"20","Emoia samoensis","Felis catus"
"21","Emoia slevini","Lamprolepis smaragdina"
"22","Emoia tuitarere","Anoplolepis gracilipes"
"23","Emoia trossula","Herpestes javanicus_old"
"24","Leiolopisma alazon","Unspecified Rattus"
"25","Aristelliger georgeensis","Hemidactylus frenatus"
"26","Sphaerodactylus argus","Hemidactylus frenatus"
"27","Celestus hewardi","Felis catus"
"28","Pristidactylus casuhatiensis","Pinus halepensis"
"29","Pristidactylus volcanensis","Felis catus"
"30","Mastigodryas bruesi","Herpestes auropunctatus"
"31","Tretanorhinus variabilis","Rattus rattus"
"32","Tomistoma schlegelii","Sus scrofa"
"33","Brachylophus fasciatus","Capra aegagrus"
"34","Brachylophus vitiensis","Felis catus"
"35","Cyclura lewisi","Canis familiaris"
"36","Crocodylus johnstoni","Rhinella marina"
"37","Atelopus laetissimus","Batrachochytrium dendrobatidis"
"38","Atelopus nahumae","Batrachochytrium dendrobatidis"
"39","Hyloxalus alessandroi","Batrachochytrium dendrobatidis"
"40","Oophaga pumilio","Batrachochytrium dendrobatidis"
"41","Hadromophryne natalensis","Unspecified SALMONIDAE"
"42","Afrixalus delicatus","Unspecified Eucalyptus"
"43","Afrixalus fornasini","Unspecified Eucalyptus"
"44","Hyperolius argus","Unspecified PERCIFORMES"
