"binomial","Action1_1","Action1_2","Action2_1","Action2_2","Action2_3","Action3_1","Action3_2","Action3_3","Action3_4","Action4_2","Action4_3","Action5_1","Action5_2","Action5_3","Action5_4","Action6_1","Action6_2","Action6_4","Action6_5"
"Alauda razae",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Anas wyvilliana",1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
"Ara glaucogularis",1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0
"Ardeotis nigriceps",1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
"Aythya innotata",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Charadrius obscurus",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanolimnas cerverai",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Didunculus strigirostris",1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0
"Diomedea dabbenena",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Fregetta maoriana",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gyps bengalensis",1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0
"Haliaeetus leucoryphus",1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Heteromirafra archeri",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Himantopus novaezelandiae",0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"Hydrobates macrodactylus",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Hypotaenidia owstoni",0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"Hypotaenidia sylvestris",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"Leptotila wellsi",1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"Macrocephalon maleo",1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"Neophema chrysogaster",1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"Nestor notabilis",0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Oxyura maccoa",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pachyptila macgillivrayi",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papasula abbotti",1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pareudiastes silvestris",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pelecanoides whenuahouensis",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Pezoporus occidentalis",0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Phoebastria irrorata",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Podiceps taczanowskii",0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0
"Porphyrio hochstetteri",0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"Pseudobulweria aterrima",0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"Pterodroma magentae",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Pterodroma phaeopygia",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Pterodroma sandwichensis",0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Puffinus auricularis",0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Puffinus bryani",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puffinus mauretanicus",0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Puffinus myrtae",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Puffinus newelli",1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Rhynochetos jubatus",0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"Rollandia microptera",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Rynchops albicollis",1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"Sterna acuticauda",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Strigops habroptila",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Sypheotides indicus",0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"Thalasseus bernsteini",1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
"Turnix novaecaledoniae",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Zanda baudinii",0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
