"binomial","NoIAS_birds","NoIAS_mammals","NoIAS_reptiles","NoIAS_fish","NoIAS_plant","NoIAS_invertebrate","NoIAS_fungus","NoIAS_parasite","NoIAS_unspecified_spp","NoIAS_diseases_unknown_cause","NoIAS_problematic_native_diseases"
"Alauda razae",0,1,1,0,0,0,0,0,1,0,0
"Anas wyvilliana",1,0,0,0,0,0,0,0,1,0,0
"Ara glaucogularis",0,0,0,0,0,2,0,0,1,0,0
"Ardeotis nigriceps",1,1,0,0,0,0,0,0,1,0,0
"Aythya innotata",0,0,0,1,0,0,0,0,0,0,0
"Charadrius obscurus",0,1,0,0,0,0,0,0,0,0,0
"Cyanolimnas cerverai",0,0,0,1,0,0,0,0,0,0,0
"Didunculus strigirostris",0,1,0,0,0,0,0,0,0,0,0
"Diomedea dabbenena",0,1,0,0,0,0,0,0,0,0,0
"Eurostopodus exul",0,1,0,0,0,0,0,0,0,0,0
"Fregetta maoriana",0,1,0,0,0,0,0,0,0,0,0
"Gyps bengalensis",0,0,0,0,0,0,0,1,0,0,0
"Haliaeetus leucoryphus",0,0,0,0,1,0,0,0,0,0,0
"Heteromirafra archeri",0,0,0,0,1,0,0,0,0,0,0
"Himantopus novaezelandiae",1,0,0,0,1,0,0,0,0,0,0
"Hydrobates macrodactylus",0,1,0,0,0,0,0,0,0,0,0
"Hypotaenidia owstoni",0,0,1,0,0,0,0,0,0,0,0
"Hypotaenidia sylvestris",2,4,0,0,0,0,0,0,1,0,0
"Leptotila wellsi",0,1,0,0,0,0,0,0,0,0,0
"Macrocephalon maleo",0,1,0,0,0,0,0,0,0,0,0
"Neophema chrysogaster",0,3,0,0,0,0,0,0,1,0,0
"Nestor notabilis",0,1,0,0,0,0,0,0,0,0,0
"Oxyura maccoa",0,0,0,0,1,0,0,0,1,0,0
"Pachyptila macgillivrayi",1,0,0,0,0,0,0,0,0,0,0
"Papasula abbotti",0,0,0,0,0,1,0,0,1,0,0
"Pareudiastes silvestris",0,0,0,0,0,1,0,0,0,0,0
"Pelecanoides whenuahouensis",0,1,0,0,0,0,0,0,0,0,1
"Pezoporus occidentalis",0,1,0,0,0,0,0,0,1,0,0
"Phoebastria irrorata",0,0,0,0,0,1,0,0,1,0,0
"Podiceps taczanowskii",0,0,0,1,0,0,0,0,0,0,0
"Porphyrio hochstetteri",0,1,0,0,0,0,0,0,1,0,0
"Pseudobulweria aterrima",0,1,0,0,0,0,0,0,0,0,0
"Pterodroma caribbaea",0,1,0,0,0,0,0,0,0,0,0
"Pterodroma magentae",0,1,0,0,0,0,0,0,0,0,0
"Pterodroma phaeopygia",1,0,0,0,1,0,0,0,0,0,0
"Pterodroma sandwichensis",1,0,0,0,0,0,0,0,0,0,0
"Puffinus auricularis",0,1,0,0,0,0,0,0,0,0,0
"Puffinus bryani",0,1,0,0,0,0,0,0,0,0,0
"Puffinus mauretanicus",0,1,0,0,0,0,0,0,0,0,0
"Puffinus myrtae",0,1,0,0,0,0,0,0,0,0,0
"Puffinus newelli",0,1,0,0,0,0,0,0,0,0,0
"Rhynochetos jubatus",0,1,0,0,0,0,0,0,1,0,0
"Rollandia microptera",0,0,0,1,0,0,0,0,1,0,0
"Rynchops albicollis",1,1,0,0,0,0,0,0,0,0,0
"Sterna acuticauda",1,2,0,0,0,0,0,0,0,0,0
"Strigops habroptila",0,0,0,0,0,0,0,1,0,0,0
"Sypheotides indicus",0,0,0,0,1,0,0,0,0,0,0
"Thalasseus bernsteini",1,1,0,0,0,0,0,0,0,0,0
"Turnix novaecaledoniae",0,0,0,0,0,0,0,0,1,0,0
"Zanda baudinii",1,0,0,0,0,1,0,0,1,0,0
